trl_ID,盤點日期
TRL20220825048,20221111
TRL20220819008,20221111
TRL20221031003,20221111
TRL20220815034,20221111
TRL20220323011,20221111
TRL20220623039,20221111
TRL20220818029,20221111
TRL20221027008,20221111
TRL20220511020,20221111
TRL20220819008,20221111
TRL20221031003,20221111
TRL20211103009,20221111
TRL20211103008,20221111
TRL20220623039,20221111
TRL20220914026,20221111
TRL20220823034,20221111
TRL20220801026,20221111
TRL20221031004,20221111
TRL20220606010,20221111
TRL20220823032,20221111
TRL20220606011,20221111
TRL20220914013,20221111
TRL20220810012,20221111
TRL20220325002,20221111
TRL20200331050,20221111
TRL20220805038,20221111
TRL20220330042,20221111
TRL20211206001,20221111
TRL20220823030,20221111
TRL20220823031,20221111
TRL20220906010,20221111
TRL20220801026,20221111
TRL20221028078,20221111
TRL20200331057,20221111
TRL20220914020,20221111
TRL20220914021,20221111
TRL20220805043,20221111
TRL20221031007,20221111
TRL20210922001,20221111
TRL20210713001,20221111
TRL20220914022,20221111
TRL20221031008,20221111
TRL20221031006,20221111
TRL20211208004,20221111
TRL20220823025,20221111
TRL20221013034,20221111
TRL20220407043,20221111
TRL20220913012,20221111
TRL20211103006,20221111
TRL20220815029,20221111
TRL20221031005,20221111
TRL20221013033,20221111
TRL20221013037,20221111
TRL20220815028,20221111
TRL20201021001,20221111
TRL20221013036,20221111
TRL20220729039,20221111
TRL20220729023,20221111
TRL20220729022,20221111
TRL20200331057,20221111
TRL20220913016,20221111
TRL20220913015,20221111
TRL20220810004,20221111
TRL20221027010,20221111
TRL20221013033,20221111
TRL20221027019,20221111
TRL20220407043,20221111
TRL20220914018,20221111
TRL20220823025,20221111
TRL20220801026,20221111
TRL20220914014,20221111
TRL20220914012,20221111
